Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
Werever2morro,16600000,2798273962.0,0,Entertainment,Mexico,MX,0.0,0.0,0.0,0.0,40.2,3.42,126014024.0,102626859.0,2010.0,0.0,0.0
IDEAS EN 5 MINUTOS,16600000,3696973456.0,216,Howto & Style,Spain,ES,16.0,262.0,196.0,3100.0,88.9,13.96,47076781.0,37927409.0,2017.0,1648.0,139.0
NMF News,16600000,7435180827.0,112261,News & Politics,India,IN,14800.0,236800.0,177600.0,2800000.0,28.1,5.36,1366417754.0,471031528.0,2013.0,1488800.0,125800.0
SriBalajiMovies,16600000,9439857193.0,20102,Entertainment,India,IN,38500.0,616200.0,462100.0,7400000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,3931050.0,327350.0
Lahari Music - TSeries,16600000,11946217860.0,8976,Music,India,IN,22300.0,356000.0,267000.0,4300000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,2283500.0,189150.0
Younes Zarou,16600000,15278668857.0,2200,Entertainment,Germany,DE,154300.0,2500000.0,1900000.0,29600000.0,70.2,3.04,83132799.0,64324835.0,2021.0,15750000.0,1327150.0
Jordan Matter,16600000,5819508534.0,413,Entertainment,United States,US,49800.0,796100.0,597100.0,9600000.0,88.2,14.7,328239523.0,270663028.0,2006.0,5098550.0,422950.0
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,16500000,2440934034.0,421,Entertainment,United States,US,5500.0,87800.0,65900.0,1100000.0,88.2,14.7,328239523.0,270663028.0,2014.0,582950.0,46650.0
FailArmy,16500000,3037260680.0,438,Comedy,United States,US,28200.0,451900.0,339000.0,5400000.0,88.2,14.7,328239523.0,270663028.0,2011.0,2869500.0,240050.0
BBC News Hindi,16500000,7043235131.0,21243,News & Politics,India,IN,32800.0,524800.0,393600.0,6300000.0,28.1,5.36,1366417754.0,471031528.0,2009.0,3346800.0,278800.0
FunFun Toy Doll TV,16500000,7406207930.0,735,Entertainment,United States,US,6100.0,97500.0,73100.0,1200000.0,88.2,14.7,328239523.0,270663028.0,2016.0,636550.0,51800.0
Sandra Cires Art,16400000,3955426159.0,1091,Howto & Style,United States,US,4500.0,72100.0,54100.0,865300.0,88.2,14.7,328239523.0,270663028.0,2011.0,459700.0,38300.0
Kaykai Salaider,16400000,4434679706.0,428,Comedy,Thailand,TH,2300.0,37400.0,28000.0,448400.0,49.3,0.75,69625582.0,35294600.0,2011.0,238200.0,19850.0
UFC - Ultimate Fighting Championship,16400000,7135820721.0,14662,Sports,United States,US,33300.0,532800.0,399600.0,6400000.0,88.2,14.7,328239523.0,270663028.0,2006.0,3399800.0,283050.0
Ch7HD,16400000,9463244435.0,56203,Entertainment,Thailand,TH,21900.0,351000.0,263300.0,4200000.0,49.3,0.75,69625582.0,35294600.0,2010.0,2231650.0,186450.0
GMMTV OFFICIALï¿½ï¿½,16400000,12844432341.0,23952,Entertainment,Thailand,TH,45300.0,725500.0,544100.0,8700000.0,49.3,0.75,69625582.0,35294600.0,2010.0,4622050.0,385400.0
Matt Stonie,16300000,3527627264.0,54,Entertainment,United States,US,7.0,119.0,89.0,1400.0,88.2,14.7,328239523.0,270663028.0,2010.0,744.5,63.0
Boyce Avenue,16300000,6578828147.0,490,Music,United States,US,7200.0,115100.0,86400.0,1400000.0,88.2,14.7,328239523.0,270663028.0,2007.0,743200.0,61150.0
Camila Cabello,16300000,6613422635.0,80,Music,United States,US,10700.0,170800.0,128100.0,2000000.0,88.2,14.7,328239523.0,270663028.0,2015.0,1064050.0,90750.0
Little Mix,16300000,7520242626.0,278,Music,United Kingdom,GB,9700.0,154400.0,115800.0,1900000.0,60.0,3.85,66834405.0,55908316.0,2011.0,1007900.0,82050.0
SAM SMITH,16300000,10170264839.0,230,Music,United Kingdom,GB,21400.0,343100.0,257300.0,4100000.0,60.0,3.85,66834405.0,55908316.0,2012.0,2178650.0,182250.0
Pitbull,16300000,12475714382.0,352,Music,United States,US,22000.0,352000.0,264000.0,4200000.0,88.2,14.7,328239523.0,270663028.0,2006.0,2232000.0,187000.0
Bollywood Classics,16300000,7141825267.0,1444,Entertainment,India,IN,37900.0,605900.0,454400.0,7300000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,3877200.0,321900.0
Technoblade,16300000,1656452554.0,989,Gaming,United States,US,4500.0,71800.0,53800.0,861300.0,88.2,14.7,328239523.0,270663028.0,2013.0,457550.0,38150.0
W2S,16300000,4768370464.0,652,Gaming,United Kingdom,GB,770.0,12300.0,9200.0,147800.0,60.0,3.85,66834405.0,55908316.0,2012.0,78500.0,6535.0
Jennifer Lopez,16200000,10227242833.0,258,Music,United States,US,15900.0,253800.0,190300.0,3000000.0,88.2,14.7,328239523.0,270663028.0,2005.0,1595150.0,134850.0
Kids Play,16200000,8091706232.0,593,Entertainment,United States,US,6500.0,103600.0,77700.0,1200000.0,88.2,14.7,328239523.0,270663028.0,2018.0,638850.0,55050.0
T3ddy,16200000,2990185467.0,1930,Comedy,Brazil,BR,8300.0,132100.0,99000.0,1600000.0,51.3,12.08,212559417.0,183241641.0,2012.0,849500.0,70200.0
JJ Olatunji,16200000,4076692623.0,1294,Gaming,United Kingdom,GB,7000.0,111200.0,83400.0,1300000.0,60.0,3.85,66834405.0,55908316.0,2011.0,691700.0,59100.0
POPS Kids,16200000,9763592867.0,3943,Music,Vietnam,VN,64200.0,1000000.0,770200.0,12300000.0,28.5,2.01,96462106.0,35332140.0,2014.0,6535100.0,532100.0
Thairath Online,16200000,14563841315.0,244899,News & Politics,Thailand,TH,56200.0,899000.0,674300.0,10800000.0,49.3,0.75,69625582.0,35294600.0,2010.0,5737150.0,477600.0
LEGO,16200000,20522339099.0,31889,Entertainment,Singapore,SG,29300.0,468800.0,351600.0,5600000.0,84.8,4.11,5703569.0,5703569.0,2005.0,2975800.0,249050.0
XO TEAM,16200000,14784781923.0,189,People & Blogs,United States,US,9.0,152.0,114.0,1800.0,88.2,14.7,328239523.0,270663028.0,2020.0,957.0,80.5
AdMe,16200000,4488680903.0,10,Entertainment,Spain,ES,0.0,0.02,0.01,0.19,88.9,13.96,47076781.0,37927409.0,2006.0,0.1,0.01
Dyland PROS,16100000,1517638132.0,2805,Entertainment,Indonesia,ID,2400.0,38500.0,28900.0,461700.0,36.3,4.69,270203917.0,151509724.0,2015.0,245300.0,20450.0
Canal IN,16100000,2687443643.0,723,People & Blogs,Brazil,BR,3500.0,55200.0,41400.0,662500.0,51.3,12.08,212559417.0,183241641.0,2017.0,351950.0,29350.0
Daily Dose Of Internet,16100000,6872702790.0,671,Entertainment,United States,US,100000.0,1600000.0,1200000.0,19200000.0,88.2,14.7,328239523.0,270663028.0,2015.0,10200000.0,850000.0
FitDance,16100000,7126210721.0,41,Music,France,FR,0.2,3.0,2.0,37.0,65.6,8.43,67059887.0,54123364.0,2006.0,19.5,1.6
Disney Junior,16100000,15812009296.0,4045,Entertainment,United States,US,66800.0,1100000.0,801400.0,12800000.0,88.2,14.7,328239523.0,270663028.0,2008.0,6800700.0,583400.0
La Rosa de Guadalupe,16100000,9642146451.0,0,Entertainment,Mexico,MX,0.0,0.0,0.0,0.0,40.2,3.42,126014024.0,102626859.0,2008.0,0.0,0.0
wifistudy,16000000,3018032423.0,52144,Education,India,IN,3600.0,57100.0,42900.0,685800.0,28.1,5.36,1366417754.0,471031528.0,2014.0,364350.0,30350.0
Antrax,16000000,3029872908.0,687,Gaming,Mexico,MX,1200.0,18800.0,14100.0,225500.0,40.2,3.42,126014024.0,102626859.0,2015.0,119800.0,10000.0
Totoy kids - Espaï¿½ï,16000000,5997599089.0,344,Film & Animation,Mexico,MX,28100.0,449600.0,337200.0,5400000.0,40.2,3.42,126014024.0,102626859.0,2017.0,2868600.0,238850.0
ýýýýýýýýýý,15900000,1845329502.0,0,People & Blogs,Russia,RU,0.0,0.0,0.0,0.0,81.9,4.59,144373535.0,107683889.0,2017.0,0.0,0.0
DopeLyrics,15900000,9962188084.0,2035,Music,United States,US,2500.0,39700.0,29700.0,475900.0,88.2,14.7,328239523.0,270663028.0,2016.0,252800.0,21100.0
jeffreestar,15900000,2609358468.0,433,Howto & Style,United States,US,502.0,8000.0,6000.0,96300.0,88.2,14.7,328239523.0,270663028.0,2006.0,51150.0,4251.0
Lyna,15900000,6534326412.0,4906,Gaming,Argentina,AR,16000.0,256300.0,192300.0,3100000.0,90.0,9.79,44938712.0,41339571.0,2014.0,1646150.0,136150.0
MK MUSIC,15900000,9198986881.0,5105,Music,Brazil,BR,34100.0,545600.0,409200.0,6500000.0,51.3,12.08,212559417.0,183241641.0,2010.0,3454600.0,289850.0
Unspeakable,15900000,9052367553.0,796,Gaming,United States,US,41200.0,659600.0,494700.0,7900000.0,88.2,14.7,328239523.0,270663028.0,2016.0,4197350.0,350400.0
Camilo,15900000,6802382479.0,132,Music,Colombia,CO,15000.0,239600.0,179700.0,2900000.0,55.3,9.71,50339443.0,40827302.0,2010.0,1539850.0,127300.0
Dear Sir,15800000,1349288771.0,633,Education,India,IN,6000.0,96200.0,72200.0,1200000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,636100.0,51100.0
Narendra Modi,15800000,3392918989.0,20679,News & Politics,India,IN,46500.0,743900.0,557900.0,8900000.0,28.1,5.36,1366417754.0,471031528.0,2007.0,4728950.0,395200.0
Arif muhammad,15800000,4122634467.0,542,People & Blogs,Indonesia,ID,18000.0,287500.0,215600.0,3400000.0,36.3,4.69,270203917.0,151509724.0,2017.0,1807800.0,152750.0
Rotten Tomatoes Trailers,15800000,13116313599.0,10441,Film & Animation,United States,US,6400.0,103000.0,77200.0,1200000.0,88.2,14.7,328239523.0,270663028.0,2011.0,638600.0,54700.0
Volga Video,15700000,9787697838.0,16874,Film & Animation,India,IN,12800.0,205300.0,153900.0,2500000.0,28.1,5.36,1366417754.0,471031528.0,2012.0,1326950.0,109050.0
DM - Desi Melodies,15700000,5914071870.0,79,Music,India,IN,35500.0,567400.0,425500.0,6800000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,3612750.0,301450.0
Team Films Bhojpuri,15700000,6626563508.0,19703,Music,India,IN,7700.0,123000.0,92200.0,1500000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,796100.0,65350.0
Zee Music Classic,15700000,5558051295.0,1640,Music,India,IN,21600.0,345800.0,259300.0,4100000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,2179650.0,183700.0
Prime Video India,15700000,8696631898.0,7090,Entertainment,United States,US,83800.0,1300000.0,1000000.0,16100000.0,88.2,14.7,328239523.0,270663028.0,2016.0,8550000.0,691900.0
Caeli YT,15600000,1511794214.0,483,Entertainment,Mexico,MX,0.0,0.0,0.0,0.0,40.2,3.42,126014024.0,102626859.0,2010.0,0.0,0.0
Linus Tech Tips,15600000,7172386509.0,6542,Science & Technology,Canada,CA,22100.0,352900.0,264700.0,4200000.0,68.9,5.56,36991981.0,30628482.0,2008.0,2232350.0,187500.0
Juliana Baltar,15600000,3869457097.0,2019,Entertainment,Brazil,BR,14100.0,224900.0,168700.0,2700000.0,51.3,12.08,212559417.0,183241641.0,2010.0,1434350.0,119500.0
5-Minute Crafts FAMILY,15600000,6165757696.0,4245,People & Blogs,United States,US,6800.0,109500.0,82100.0,1300000.0,88.2,14.7,328239523.0,270663028.0,2018.0,691050.0,58150.0
Blippi Espaï¿½ï,15500000,8984089026.0,598,People & Blogs,Mexico,MX,22500.0,360000.0,270000.0,4300000.0,40.2,3.42,126014024.0,102626859.0,2017.0,2285000.0,191250.0
Katakit Baby TV,15500000,6386271870.0,220,Music,Saudi Arabia,SA,22700.0,363700.0,272700.0,4400000.0,68.0,5.93,34268528.0,28807838.0,2010.0,2336350.0,193200.0
Infobells Bangla,15500000,7776706184.0,359,Education,India,IN,42000.0,671600.0,503700.0,8100000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,4301850.0,356800.0
ýýýýýýýý ýý ýýýýýýýý,15500000,8265129639.0,1021,Shows,Saudi Arabia,SA,33800.0,540100.0,405100.0,6500000.0,68.0,5.93,34268528.0,28807838.0,2017.0,3452550.0,286950.0
Henrique e Juliano,15500000,14619523361.0,325,Music,Brazil,BR,40900.0,654700.0,491000.0,7900000.0,51.3,12.08,212559417.0,183241641.0,2009.0,4195500.0,347800.0
Mr DegrEE,15500000,12880388253.0,0,Science & Technology,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2016.0,0.0,0.0
Kashvi Adlakha,15500000,12714141740.0,1525,Entertainment,India,IN,34800.0,556500.0,417400.0,6700000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,3558700.0,295650.0
Talking Tom & Friends,15500000,6396049701.0,417,Entertainment,United States,US,6800.0,109500.0,82100.0,1300000.0,88.2,14.7,328239523.0,270663028.0,2010.0,691050.0,58150.0
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,15500000,4499826716.0,5183,Howto & Style,Egypt,EG,8200.0,131700.0,98700.0,1600000.0,35.2,10.76,100388073.0,42895824.0,2017.0,849350.0,69950.0
Harsh Beniwal,15400000,1781226000.0,165,Comedy,India,IN,7000.0,111900.0,83900.0,1300000.0,28.1,5.36,1366417754.0,471031528.0,2015.0,691950.0,59450.0
FFUNTV,15400000,11513738907.0,379,Gaming,United Arab Emirates,AE,20000.0,320700.0,240500.0,3800000.0,36.8,2.35,9770529.0,8479744.0,2018.0,2020250.0,170350.0
Mobile Legends: Bang Bang,15400000,1543608082.0,1647,Gaming,United States,US,13800.0,221500.0,166100.0,2700000.0,88.2,14.7,328239523.0,270663028.0,2016.0,1433050.0,117650.0
Roman Atwood Vlogs,15400000,5469103954.0,1756,People & Blogs,United States,US,396.0,6300.0,4700.0,76000.0,88.2,14.7,328239523.0,270663028.0,2013.0,40350.0,3348.0
Mrwhosetheboss,15400000,3736069980.0,1577,Science & Technology,United Kingdom,GB,41900.0,670800.0,503100.0,8000000.0,60.0,3.85,66834405.0,55908316.0,2011.0,4251550.0,356350.0
Genierock,15400000,14564170905.0,1725,Music,Thailand,TH,20700.0,331200.0,248400.0,4000000.0,49.3,0.75,69625582.0,35294600.0,2008.0,2124200.0,175950.0
zayn,15400000,4909687948.0,21,Music,United States,US,9200.0,147200.0,110400.0,1800000.0,88.2,14.7,328239523.0,270663028.0,2016.0,955200.0,78200.0
Kerajinan 5-Menit,15400000,4750420071.0,4186,People & Blogs,Indonesia,ID,4900.0,79000.0,59200.0,947500.0,36.3,4.69,270203917.0,151509724.0,2018.0,503350.0,41950.0
FC Barcelona,15300000,2656528205.0,10988,Sports,Spain,ES,21200.0,339500.0,254600.0,4100000.0,88.9,13.96,47076781.0,37927409.0,2006.0,2177300.0,180350.0
Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606.0,851,Education,United States,US,19300.0,308200.0,231200.0,3700000.0,88.2,14.7,328239523.0,270663028.0,2014.0,1965600.0,163750.0
LOKESH GAMER,15300000,1640078055.0,1397,Gaming,India,IN,1500.0,23700.0,17800.0,284200.0,28.1,5.36,1366417754.0,471031528.0,2017.0,151000.0,12600.0
ILYA BORZOV,15300000,9938811455.0,2175,People & Blogs,Russia,RU,118900.0,1900000.0,1400000.0,22800000.0,81.9,4.59,144373535.0,107683889.0,2021.0,12100000.0,1009450.0
Mazhavil Manorama,15300000,16545966132.0,87864,Entertainment,India,IN,90400.0,1400000.0,1100000.0,17400000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,9250000.0,745200.0
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15200000,857725714.0,194,People & Blogs,India,IN,16300.0,261500.0,196100.0,3100000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,1648050.0,138900.0
The MriDul,15200000,4503880875.0,106,Comedy,India,IN,24600.0,393300.0,295000.0,4700000.0,28.1,5.36,1366417754.0,471031528.0,2015.0,2497500.0,208950.0
Niana Guerrero,15200000,1491452935.0,443,Entertainment,Philippines,PH,2500.0,39900.0,29900.0,479000.0,35.5,2.15,108116615.0,50975903.0,2013.0,254450.0,21200.0
SRK MUSIC,15200000,6391679636.0,5056,Music,India,IN,14500.0,231200.0,173400.0,2800000.0,28.1,5.36,1366417754.0,471031528.0,2012.0,1486700.0,122850.0
Sony LIV,15200000,7151683497.0,11099,Entertainment,India,IN,52700.0,843600.0,632700.0,10100000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,5366350.0,448150.0
T-Series Hamaar Bhojpuri,15200000,7564652648.0,9862,Entertainment,India,IN,26500.0,423900.0,317900.0,5100000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,2708950.0,225200.0
Oyuncak Avï¿,15200000,8333387785.0,654,Entertainment,Turkey,TR,1100.0,17700.0,13300.0,212500.0,23.9,13.49,83429615.0,63097818.0,2014.0,112900.0,9400.0
CNN,15200000,14198154095.0,160405,News & Politics,United States,US,46800.0,748000.0,561000.0,9000000.0,88.2,14.7,328239523.0,270663028.0,2005.0,4780500.0,397400.0
NDTV India,15200000,6624168155.0,91704,News & Politics,India,IN,12400.0,198600.0,149000.0,2400000.0,28.1,5.36,1366417754.0,471031528.0,2008.0,1274500.0,105500.0
It's Mamix,15100000,1777072487.0,210,People & Blogs,United States,US,4000.0,63900.0,48000.0,767200.0,88.2,14.7,328239523.0,270663028.0,2017.0,407600.0,33950.0
Daftar Populer,15100000,2143140898.0,3810,Education,Indonesia,ID,4300.0,68900.0,51700.0,827100.0,36.3,4.69,270203917.0,151509724.0,2017.0,439400.0,36600.0
Ranz Kyle,15100000,1760131384.0,533,People & Blogs,Philippines,PH,3100.0,49500.0,37100.0,594000.0,35.5,2.15,108116615.0,50975903.0,2008.0,315550.0,26300.0
PowerfulJRE,15100000,3060202847.0,1037,People & Blogs,United States,US,10900.0,173600.0,130200.0,2100000.0,88.2,14.7,328239523.0,270663028.0,2013.0,1115100.0,92250.0
Mariale,15100000,2761547758.0,2618,Howto & Style,United States,US,3000.0,47800.0,35900.0,573900.0,88.2,14.7,328239523.0,270663028.0,2010.0,304900.0,25400.0
Makiman131,15100000,4236036141.0,2997,Gaming,Spain,ES,1500.0,23900.0,17900.0,286600.0,88.9,13.96,47076781.0,37927409.0,2013.0,152250.0,12700.0
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15100000,5324913850.0,753,People & Blogs,Egypt,EG,11500.0,184200.0,138200.0,2200000.0,35.2,10.76,100388073.0,42895824.0,2014.0,1169100.0,97850.0
EdisonPts,15100000,6668507856.0,3733,Gaming,Russia,RU,23900.0,382400.0,286800.0,4600000.0,81.9,4.59,144373535.0,107683889.0,2013.0,2443400.0,203150.0
BIGBANG,15100000,7857371770.0,776,Music,South Korea,KR,10200.0,163200.0,122400.0,2000000.0,94.3,4.15,51709098.0,42106719.0,2005.0,1061200.0,86700.0
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15100000,9477021288.0,921,Comedy,Argentina,AR,128100.0,2000000.0,1500000.0,24600000.0,90.0,9.79,44938712.0,41339571.0,2016.0,13050000.0,1064050.0
ABS-CBN News,15100000,10489367372.0,209520,News & Politics,Philippines,PH,45400.0,726600.0,544900.0,8700000.0,35.5,2.15,108116615.0,50975903.0,2009.0,4622450.0,386000.0
Chapitosiki,15100000,13897932103.0,2717,Entertainment,Russia,RU,178400.0,2900000.0,2100000.0,34200000.0,81.9,4.59,144373535.0,107683889.0,2020.0,18150000.0,1539200.0
AdeleVEVO,15100000,12413869881.0,52,Music,United Kingdom,GB,21200.0,339000.0,254300.0,4100000.0,60.0,3.85,66834405.0,55908316.0,2009.0,2177150.0,180100.0
MoreAliA,15000000,4352427049.0,2324,Gaming,United Kingdom,GB,62700.0,1000000.0,753000.0,12000000.0,60.0,3.85,66834405.0,55908316.0,2013.0,6376500.0,531350.0
Chetan Monga Vlogs,15000000,9924103188.0,899,People & Blogs,India,IN,28400.0,454300.0,340700.0,5500000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,2920350.0,241350.0
Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15000000,8897705695.0,795,Entertainment,Brazil,BR,36400.0,581900.0,436400.0,7000000.0,51.3,12.08,212559417.0,183241641.0,2018.0,3718200.0,309150.0
League of Legends,15000000,7159750970.0,1362,Gaming,United States,US,10800.0,172500.0,129400.0,2100000.0,88.2,14.7,328239523.0,270663028.0,2009.0,1114700.0,91650.0
TheRichest,15000000,2730879024.0,0,Education,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2006.0,0.0,0.0
XpressTV,15000000,4008801873.0,724,Entertainment,Mexico,MX,8500.0,135500.0,101600.0,1600000.0,40.2,3.42,126014024.0,102626859.0,2014.0,850800.0,72000.0
PlayStation,15000000,4741434420.0,20292,Gaming,United States,US,10400.0,167200.0,125400.0,2000000.0,88.2,14.7,328239523.0,270663028.0,2005.0,1062700.0,88800.0
Kwebbelkop,15000000,6889304306.0,5198,Gaming,United States,US,7400.0,118900.0,89200.0,1400000.0,88.2,14.7,328239523.0,270663028.0,2008.0,744600.0,63150.0
Republic Bharat,15000000,7536093065.0,206,News & Politics,India,IN,0.25,4.0,3.0,48.0,28.1,5.36,1366417754.0,471031528.0,2018.0,25.5,2.125
THE BROWN SIBLINGS,15000000,8658553456.0,965,Entertainment,India,IN,25600.0,409400.0,307100.0,4900000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,2603550.0,217500.0
Sony Music South,15000000,9978734160.0,2726,Music,India,IN,60500.0,968700.0,726600.0,11600000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,6163300.0,514600.0
Ray William Johnson,15000000,10239836582.0,1803,Entertainment,United States,US,78200.0,1300000.0,938600.0,15000000.0,88.2,14.7,328239523.0,270663028.0,2008.0,7969300.0,689100.0
KOMPASTV,15000000,11827310821.0,269050,News & Politics,Indonesia,ID,28300.0,452300.0,339200.0,5400000.0,36.3,4.69,270203917.0,151509724.0,2013.0,2869600.0,240300.0
ISSEI / ï¿½ï¿½ï¿½ï¿½,15000000,13562853889.0,1788,Comedy,Japan,JP,70600.0,1100000.0,847100.0,13600000.0,63.2,2.29,126226568.0,115782416.0,2014.0,7223550.0,585300.0
Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15000000,11506702632.0,340,Music,Brazil,BR,45700.0,731500.0,548600.0,8800000.0,51.3,12.08,212559417.0,183241641.0,2012.0,4674300.0,388600.0
A2 Motivation by Arvind Arora,15000000,8932038210.0,3168,Entertainment,India,IN,32700.0,522900.0,392200.0,6300000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,3346100.0,277800.0
50 Cent,14900000,10069000444.0,419,Music,United States,US,30000.0,479200.0,359400.0,5800000.0,88.2,14.7,328239523.0,270663028.0,2007.0,3079700.0,254600.0
MNCTV OFFICIAL,14900000,8074260978.0,66362,Entertainment,Indonesia,ID,10900.0,174300.0,130700.0,2100000.0,36.3,4.69,270203917.0,151509724.0,2012.0,1115350.0,92600.0
ERB,14900000,4033400167.0,86,Entertainment,United States,US,2800.0,44200.0,33100.0,530100.0,88.2,14.7,328239523.0,270663028.0,2006.0,281600.0,23500.0
melanie martinez,14900000,4395184343.0,127,Music,United States,US,14100.0,225400.0,169100.0,2700000.0,88.2,14.7,328239523.0,270663028.0,2007.0,1434550.0,119750.0
iTownGamePlay *Terror&Diversiï¿½ï,14900000,4977284539.0,8420,Entertainment,Spain,ES,3500.0,55400.0,41600.0,665200.0,88.9,13.96,47076781.0,37927409.0,2012.0,353400.0,29450.0
ýýýýýýýýýýýý8 : Thai Ch8,14900000,5549770244.0,27944,Entertainment,Thailand,TH,12400.0,198200.0,148700.0,2400000.0,49.3,0.75,69625582.0,35294600.0,2011.0,1274350.0,105300.0
ýýýýýý,14900000,439098.0,1,People & Blogs,Russia,RU,2.0,31.0,23.0,369.0,81.9,4.59,144373535.0,107683889.0,2008.0,196.0,16.5
TazerCraft,14900000,5956193599.0,4175,Gaming,Brazil,BR,9900.0,159100.0,119300.0,1900000.0,51.3,12.08,212559417.0,183241641.0,2011.0,1009650.0,84500.0
Bayashi TV,14900000,8615618825.0,93,Entertainment,Japan,JP,0.62,10.0,7.0,119.0,63.2,2.29,126226568.0,115782416.0,2012.0,63.0,5.31
Fueled By Ramen,14800000,13356517783.0,1210,Music,United States,US,15300.0,244800.0,183600.0,2900000.0,88.2,14.7,328239523.0,270663028.0,2006.0,1541800.0,130050.0
CrashCourse,14800000,1833519700.0,1481,Education,United States,US,1800.0,28700.0,21500.0,344500.0,88.2,14.7,328239523.0,270663028.0,2006.0,183000.0,15250.0
MattyBRaps,14800000,3587576784.0,195,Music,United States,US,5700.0,91900.0,68900.0,1100000.0,88.2,14.7,328239523.0,270663028.0,2010.0,584450.0,48800.0
Lachlan,14800000,5269059435.0,3834,Gaming,Australia,AU,5300.0,84300.0,63200.0,1000000.0,113.1,5.27,25766605.0,21844756.0,2013.0,531600.0,44800.0
ýýýýýýýý ýýýýýýýý,14800000,7018015062.0,2387,Howto & Style,Ukraine,UA,11800.0,188500.0,141400.0,2300000.0,82.7,8.88,44385155.0,30835699.0,2015.0,1220700.0,100150.0
Meghan Trainor,14800000,8649303688.0,233,People & Blogs,United States,US,12900.0,206600.0,154900.0,2500000.0,88.2,14.7,328239523.0,270663028.0,2008.0,1327450.0,109750.0
Jorge & Mateus Oficial,14800000,9076642765.0,318,Music,Brazil,BR,22000.0,352500.0,264400.0,4200000.0,51.3,12.08,212559417.0,183241641.0,2008.0,2232200.0,187250.0
Beast Philanthropy,14800000,272678287.0,34,People & Blogs,Germany,DE,9.0,152.0,114.0,1800.0,70.2,3.04,83132799.0,64324835.0,2015.0,957.0,80.5
5-Minute Crafts Recycle,14800000,8866012877.0,3867,People & Blogs,United States,US,13300.0,212700.0,159500.0,2600000.0,88.2,14.7,328239523.0,270663028.0,2019.0,1379750.0,113000.0
ýýýýýýýýýý ýýýýýýýýýýýý,14700000,2230986039.0,1385,Entertainment,Saudi Arabia,SA,673.0,10800.0,8100.0,129300.0,68.0,5.93,34268528.0,28807838.0,2016.0,68700.0,5736.5
Maha Fun Tv,14700000,1321380490.0,85,Entertainment,United States,US,1200.0,19100.0,14300.0,229500.0,88.2,14.7,328239523.0,270663028.0,2017.0,121900.0,10150.0
Canal Nostalgia,14700000,1506796393.0,554,Entertainment,Spain,ES,57.0,906.0,679.0,10900.0,88.9,13.96,47076781.0,37927409.0,2010.0,5789.5,481.5
The Slow Mo Guys,14700000,2465473772.0,317,Entertainment,United States,US,4700.0,75900.0,56900.0,911000.0,88.2,14.7,328239523.0,270663028.0,2010.0,483950.0,40300.0
StudyIQ IAS,14700000,4029253667.0,43564,Education,India,IN,18600.0,297900.0,223400.0,3600000.0,28.1,5.36,1366417754.0,471031528.0,2015.0,1911700.0,158250.0
Chad Wild Clay,14700000,6751985988.0,698,Comedy,United States,US,9100.0,145400.0,109000.0,1700000.0,88.2,14.7,328239523.0,270663028.0,2006.0,904500.0,77250.0
CollegeHumor,14700000,7255848125.0,4340,Comedy,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2006.0,0.0,0.0
Netflix Jr.,14700000,8882319696.0,1996,Education,United States,US,19900.0,317600.0,238200.0,3800000.0,88.2,14.7,328239523.0,270663028.0,2012.0,2019100.0,168750.0
Colors Rishtey,14700000,12362331529.0,23490,Entertainment,India,IN,86900.0,1400000.0,1000000.0,16700000.0,28.1,5.36,1366417754.0,471031528.0,2013.0,8850000.0,743450.0
